graph_id,image,source,pack_id,gitqa_ref,n,m,girth,cycles,longest_cycle,crossings,ring_order,gold_cycle,foil_kind,reviewer,display_note
0,r000_circular.png,gitqa,gitqa_00,1070,26,26,9,1,,79,node_id,4 – 25 – 3 – 1 – 0 – 21 – 13 – 18 – 14,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
35,r035_circular.png,generated,17,gen-17,13,13,4,1,4,20,node_id,5 – 11 – 1 – 4,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
36,r036_circular.png,gitqa,gitqa_18,1088,26,29,3,4,,1,cycle_backbone,4 – 0 – 1,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
37,r037_circular.png,generated,18,gen-18,19,20,5,2,10,34,node_id,1 – 16 – 17 – 13 – 7,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
38,r038_circular.png,gitqa,gitqa_19,1089,26,26,8,1,,0,cycle_backbone,17 – 15 – 1 – 0 – 16 – 8 – 22 – 24,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
39,r039_circular.png,generated,19,gen-19,17,20,6,4,11,67,node_id,6 – 4 – 9 – 8 – 5 – 0,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
40,r040_circular.png,gitqa,gitqa_20,1090,26,29,3,4,,148,node_id,9 – 3 – 0,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
41,r041_circular.png,generated,20,gen-20,19,21,3,3,10,51,node_id,2 – 6 – 0,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
42,r042_circular.png,gitqa,gitqa_21,1091,26,27,3,2,,78,node_id,2 – 11 – 0,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
43,r043_circular.png,generated,21,gen-21,15,18,4,4,9,45,node_id,10 – 4 – 7 – 6,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
44,r044_circular.png,gitqa,gitqa_22,1092,26,27,5,2,,96,node_id,15 – 8 – 2 – 0 – 1,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
45,r045_circular.png,generated,22,gen-22,17,17,5,1,5,49,node_id,0 – 12 – 15 – 16 – 4,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
46,r046_circular.png,gitqa,gitqa_23,1093,26,29,3,4,,107,node_id,2 – 0 – 3,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
47,r047_circular.png,generated,23,gen-23,17,19,6,3,8,47,node_id,13 – 3 – 11 – 12 – 8 – 0,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
48,r048_circular.png,gitqa,gitqa_24,1094,26,29,3,4,,109,node_id,4 – 0 – 1,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
49,r049_circular.png,generated,24,gen-24,13,16,3,4,7,41,node_id,10 – 5 – 9,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
50,r050_circular.png,gitqa,gitqa_25,1095,26,27,6,2,,3,cycle_backbone,12 – 22 – 8 – 2 – 0 – 1,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
51,r051_circular.png,generated,25,gen-25,21,21,4,1,4,40,node_id,17 – 5 – 7 – 11,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
52,r052_circular.png,gitqa,gitqa_26,1096,26,26,5,1,,95,node_id,13 – 0 – 1 – 25 – 8,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
53,r053_circular.png,generated,26,gen-26,14,14,5,1,5,15,node_id,11 – 3 – 7 – 10 – 6,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
54,r054_circular.png,gitqa,gitqa_27,1097,26,29,3,4,,105,node_id,1 – 0 – 23,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
55,r055_circular.png,generated,27,gen-27,22,22,6,1,6,29,node_id,11 – 12 – 13 – 0 – 7 – 9,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
56,r056_circular.png,gitqa,gitqa_28,1098,26,27,6,2,,0,cycle_backbone,13 – 15 – 3 – 4 – 0 – 1,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
57,r057_circular.png,generated,28,gen-28,17,19,3,3,7,56,node_id,8 – 14 – 5,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
58,r058_circular.png,gitqa,gitqa_29,1099,26,29,4,4,,119,node_id,2 – 19 – 1 – 0,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
59,r059_circular.png,generated,29,gen-29,19,20,4,2,6,50,node_id,11 – 12 – 8 – 3,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
60,r060_circular.png,gitqa,gitqa_30,1100,27,30,3,4,,109,node_id,1 – 2 – 0,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
61,r061_circular.png,generated,30,gen-30,21,22,5,2,8,52,node_id,13 – 2 – 17 – 0 – 6,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
62,r062_circular.png,gitqa,gitqa_31,1101,27,27,9,1,,107,node_id,1 – 13 – 4 – 11 – 9 – 17 – 25 – 15 – 0,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
63,r063_circular.png,generated,31,gen-31,12,13,6,2,6,16,node_id,2 – 3 – 1 – 4 – 9 – 0,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
64,r064_circular.png,gitqa,gitqa_32,1102,27,27,6,1,,82,node_id,17 – 16 – 7 – 1 – 0 – 12,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
65,r065_circular.png,generated,32,gen-32,22,25,3,4,7,48,node_id,3 – 9 – 5,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
66,r066_circular.png,gitqa,gitqa_33,1103,27,30,3,4,,118,node_id,2 – 0 – 3,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
67,r067_circular.png,generated,33,gen-33,12,14,4,3,7,26,node_id,7 – 1 – 9 – 3,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
68,r068_circular.png,gitqa,gitqa_34,1104,27,27,8,1,,108,node_id,12 – 15 – 22 – 6 – 7 – 1 – 0 – 26,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
69,r069_circular.png,generated,34,gen-34,11,12,5,2,6,24,node_id,3 – 7 – 5 – 1 – 6,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
70,r070_circular.png,gitqa,gitqa_35,1105,27,30,3,4,,2,cycle_backbone,24 – 4 – 0,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
71,r071_circular.png,generated,35,gen-35,20,20,6,1,6,55,node_id,18 – 0 – 8 – 4 – 12 – 3,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
72,r072_circular.png,gitqa,gitqa_36,1106,27,28,4,2,,117,node_id,7 – 0 – 1 – 11,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
73,r073_circular.png,generated,36,gen-36,19,20,3,2,3,42,node_id,18 – 11 – 16,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
74,r074_circular.png,gitqa,gitqa_37,1107,27,28,4,2,,2,cycle_backbone,0 – 2 – 15 – 8,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
75,r075_circular.png,generated,37,gen-37,18,18,4,1,4,44,node_id,4 – 15 – 11 – 3,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
76,r076_circular.png,gitqa,gitqa_38,1108,27,27,13,1,,121,node_id,25 – 13 – 0 – 1 – 16 – 15 – 5 – 26 – 10 – 20 – 21 – 18 – 2,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
77,r077_circular.png,generated,38,gen-38,20,20,5,1,5,40,node_id,1 – 0 – 3 – 8 – 5,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
78,r078_circular.png,gitqa,gitqa_39,1109,27,27,4,1,,116,node_id,7 – 0 – 1 – 11,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
79,r079_circular.png,generated,39,gen-39,17,19,6,3,11,25,node_id,4 – 1 – 5 – 12 – 0 – 2,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
80,r080_circular.png,gitqa,gitqa_40,1110,27,27,7,1,,91,node_id,20 – 25 – 22 – 24 – 11 – 0 – 1,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
81,r081_circular.png,generated,40,gen-40,11,12,3,2,3,20,node_id,4 – 3 – 10,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
82,r082_circular.png,gitqa,gitqa_41,1111,27,29,5,3,,1,cycle_backbone,23 – 1 – 0 – 4 – 14,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
83,r083_circular.png,generated,41,gen-41,18,19,4,2,4,58,node_id,6 – 0 – 8 – 1,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
84,r084_circular.png,gitqa,gitqa_42,1112,27,28,6,2,,111,node_id,2 – 0 – 15 – 25 – 20 – 26,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
85,r085_circular.png,generated,42,gen-42,18,21,5,4,10,52,node_id,2 – 13 – 9 – 0 – 5,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
86,r086_circular.png,gitqa,gitqa_43,1113,27,28,5,2,,0,cycle_backbone,14 – 6 – 0 – 2 – 13,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
87,r087_circular.png,generated,43,gen-43,20,20,6,1,6,45,node_id,2 – 19 – 6 – 15 – 12 – 8,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
88,r088_circular.png,gitqa,gitqa_44,1114,27,29,3,3,,3,cycle_backbone,17 – 0 – 1,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
89,r089_circular.png,generated,44,gen-44,15,16,3,2,7,47,node_id,8 – 0 – 12,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
90,r090_circular.png,gitqa,gitqa_45,1115,27,30,3,4,,99,node_id,2 – 4 – 0,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
91,r091_circular.png,generated,45,gen-45,16,17,4,2,7,33,node_id,3 – 8 – 1 – 11,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
92,r092_circular.png,gitqa,gitqa_46,1116,27,30,3,4,,89,node_id,2 – 0 – 5,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
93,r093_circular.png,generated,46,gen-46,14,14,5,1,5,15,node_id,3 – 6 – 5 – 0 – 2,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
94,r094_circular.png,gitqa,gitqa_47,1117,27,27,10,1,,106,node_id,12 – 15 – 22 – 6 – 21 – 24 – 20 – 1 – 0 – 17,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
95,r095_circular.png,generated,47,gen-47,19,21,6,3,10,47,node_id,12 – 4 – 1 – 3 – 2 – 15,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
96,r096_circular.png,gitqa,gitqa_48,1118,27,29,4,3,,119,node_id,1 – 0 – 7 – 11,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
97,r097_circular.png,generated,48,gen-48,19,19,3,1,3,42,node_id,2 – 15 – 4,adjacent,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
98,r098_circular.png,gitqa,gitqa_49,1119,27,27,9,1,,0,cycle_backbone,1 – 25 – 13 – 14 – 26 – 3 – 16 – 24 – 0,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
99,r099_circular.png,generated,49,gen-49,19,21,4,3,10,41,node_id,13 – 11 – 3 – 17,premature,40190,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
100,r100_circular.png,gitqa,gitqa_50,1120,27,27,7,1,,0,cycle_backbone,26 – 22 – 8 – 15 – 1 – 0 – 6,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
101,r101_circular.png,generated,50,gen-50,15,16,5,2,5,31,node_id,4 – 0 – 12 – 9 – 2,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
102,r102_circular.png,gitqa,gitqa_51,1121,27,27,11,1,,104,node_id,19 – 14 – 3 – 21 – 9 – 1 – 0 – 16 – 13 – 24 – 17,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
103,r103_circular.png,generated,51,gen-51,18,21,6,4,10,46,node_id,13 – 0 – 4 – 8 – 3 – 12,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
104,r104_circular.png,gitqa,gitqa_52,1122,27,27,10,1,,81,node_id,5 – 12 – 25 – 6 – 26 – 14 – 18 – 1 – 0 – 2,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
105,r105_circular.png,generated,52,gen-52,17,19,3,3,9,43,node_id,8 – 11 – 16,adjacent,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
106,r106_circular.png,gitqa,gitqa_53,1123,27,28,3,2,,104,node_id,3 – 1 – 0,adjacent,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
107,r107_circular.png,generated,53,gen-53,19,20,4,2,7,45,node_id,12 – 7 – 14 – 10,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
108,r108_circular.png,gitqa,gitqa_54,1124,27,29,3,3,,114,node_id,4 – 0 – 3,adjacent,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
109,r109_circular.png,generated,54,gen-54,16,18,5,3,11,51,node_id,9 – 1 – 14 – 3 – 5,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
110,r110_circular.png,gitqa,gitqa_55,1125,27,27,4,1,,0,cycle_backbone,6 – 15 – 0 – 1,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
111,r111_circular.png,generated,55,gen-55,13,15,6,3,8,35,node_id,5 – 6 – 11 – 2 – 7 – 1,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
112,r112_circular.png,gitqa,gitqa_56,1126,27,29,5,3,,0,cycle_backbone,22 – 3 – 0 – 2 – 10,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
113,r113_circular.png,generated,56,gen-56,20,20,3,1,3,54,node_id,17 – 1 – 0,adjacent,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
114,r114_circular.png,gitqa,gitqa_57,1127,27,27,7,1,,91,node_id,4 – 26 – 18 – 15 – 13 – 1 – 0,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
115,r115_circular.png,generated,57,gen-57,16,17,4,2,4,25,node_id,9 – 7 – 14 – 6,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
116,r116_circular.png,gitqa,gitqa_58,1128,27,28,7,2,,80,node_id,24 – 23 – 0 – 1 – 14 – 17 – 20,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
117,r117_circular.png,generated,58,gen-58,15,18,5,4,11,32,node_id,3 – 0 – 8 – 12 – 5,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
118,r118_circular.png,gitqa,gitqa_59,1129,27,29,4,3,,2,cycle_backbone,4 – 6 – 1 – 0,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
119,r119_circular.png,generated,59,gen-59,20,21,6,2,6,42,node_id,3 – 5 – 1 – 9 – 0 – 15,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
120,r120_circular.png,gitqa,gitqa_60,1130,27,30,4,4,,10,cycle_backbone,15 – 8 – 0 – 2,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
121,r121_circular.png,generated,60,gen-60,12,15,3,4,6,35,node_id,3 – 10 – 9,adjacent,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
122,r122_circular.png,gitqa,gitqa_61,1131,27,27,4,1,,96,node_id,0 – 1 – 8 – 13,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
123,r123_circular.png,generated,61,gen-61,12,13,4,2,6,20,node_id,7 – 10 – 2 – 9,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
124,r124_circular.png,gitqa,gitqa_62,1132,27,29,4,3,,128,node_id,10 – 0 – 2 – 6,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
125,r125_circular.png,generated,62,gen-62,16,19,5,4,10,33,node_id,2 – 8 – 5 – 3 – 4,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
126,r126_circular.png,gitqa,gitqa_63,1133,27,29,3,3,,111,node_id,2 – 1 – 0,adjacent,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
127,r127_circular.png,generated,63,gen-63,20,21,6,2,6,51,node_id,14 – 0 – 19 – 7 – 18 – 6,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
128,r128_circular.png,gitqa,gitqa_64,1134,27,27,4,1,,0,cycle_backbone,8 – 1 – 0 – 13,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
129,r129_circular.png,generated,64,gen-64,18,20,3,3,8,65,node_id,6 – 1 – 11,adjacent,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
130,r130_circular.png,gitqa,gitqa_65,1135,27,27,5,1,,0,cycle_backbone,1 – 0 – 24 – 18 – 6,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
131,r131_circular.png,generated,65,gen-65,12,13,4,2,6,20,node_id,7 – 4 – 0 – 6,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
132,r132_circular.png,gitqa,gitqa_66,1136,27,27,5,1,,0,cycle_backbone,1 – 6 – 18 – 24 – 0,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
133,r133_circular.png,generated,66,gen-66,20,20,5,1,5,46,node_id,2 – 4 – 12 – 17 – 14,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
134,r134_circular.png,gitqa,gitqa_67,1137,27,29,4,3,,2,cycle_backbone,3 – 24 – 2 – 0,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
135,r135_circular.png,generated,67,gen-67,13,14,6,2,10,22,node_id,10 – 12 – 7 – 8 – 0 – 3,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
136,r136_circular.png,gitqa,gitqa_68,1138,27,27,4,1,,116,node_id,1 – 0 – 7 – 11,premature,40290,options randomly rotated/flipped with counterbalance (seed 7000+gid); drawing+gold unchanged
